"STATION","NAME","DATE","AWND","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00300443","BATAVIA, NY US","2009-01-01",,,,"0.00","0.0","6.0","40","18","28",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-02",,,,"0.00","0.0","5.0","34","13","31",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-03",,,,"0.04","0.8","6.0","27","21","25",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-04",,,,"0.00","0.0","6.0","29","18","28",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-05",,,,"0.00","0.0","6.0","32","20","24",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-06",,,,"0.00","0.0","5.0","27","12","27",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-07",,,,"0.65","0.3","3.0","35","24","32",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-08",,,,"0.04","2.0","5.0","30","21","22",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-09",,,,"0.03","0.1","3.0","24","14","22",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-10",,,,"0.00","0.0","3.0","19","6","18",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-11",,,,"0.28","7.0","10.0","23","16","22",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-12",,,,"0.10","1.0","10.0","27","15","25",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-13",,,,"0.12","2.0","13.0","33","20","33",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-14",,,,"0.03","3.8","16.0","16","-1","7",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-15",,,,"0.07","1.0","17.0","14","0","10",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-16",,,,"0.02","1.0","18.0","7","2","5",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-17",,,,"0.01","0.3","17.0","11","-1","10",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-18",,,,"0.04","0.9","18.0","28","11","27",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-19",,,,"0.03","0.5","18.0","22","14","19",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-20",,,,"0.03","1.0","19.0","20","11","15",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-21",,,,"0.01","0.1","17.0","20","3","20",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-22",,,,"0.01","0.1","17.0","26","18","26",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-23",,,,"0.00","0.0","9.0","43","25","42",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-24",,,,"0.03","0.3","10.0","32","7","9",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-25",,,,"0.00","0.0","10.0","17","5","15",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-26",,,,"0.00","0.0","6.0","17","4","17",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-27",,,,"0.00","0.0","5.0","24","12","21",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-28",,,,"0.50","8.5","14.0","28","18","26",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-29",,,,"0.10","2.0","16.0","22","14","22",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-30",,,,"0.03","1.0","17.0","25","20","21",,,,,,,
"USC00300443","BATAVIA, NY US","2009-01-31",,,,"0.01","0.3","17.0","16","7","15",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-01",,,,"0.00","0.0","16.0","38","18","37",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-02",,,,"0.00","0.0","6.0","36","25","35",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-03",,,,"0.00","0.0","5.0","28","14","26",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-04",,,,"0.02","1.0","6.0","19","8","14",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-05",,,,"0.02",,"6.0","11","-3","11",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-06",,,,"0.00","0.0","5.0","27","6","27",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-07",,,,"0.00","0.0","5.0","13","51","50",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-08",,,,"0.00","0.0","1.0","50","34","36",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-09",,,,"0.00","0.0",,"41","26","39",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-10",,,,"0.00","0.0",,"53","29","52",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-11",,,,"0.07","0.0","0.0","52","45","52",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-12",,,,"0.88",,"2.0","53","32","33",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-13",,,,"0.11","1.0","3.0","42","21","28",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-14",,,,"0.00","0.0","1.0","30","16","28",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-15",,,,"0.00","0.0","1.0","31","16","30",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-16",,,,"0.00","0.0","1.0","27","13","27",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-17",,,,"0.00","0.0","1.0","35","17","29",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-18",,,,"0.00","0.0","1.0","36","25","35",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-19",,,,"0.02","0.0","1.0","38","20","20",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-20",,,,"0.08","2.0","3.0","25","15","22",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-21",,,,"0.00","0.0","2.0","34","19","33",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-22",,,,"0.03","1.0","3.0","37","23","24",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-23",,,,"0.02","1.0","4.0","21","13","19",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-24",,,,"0.01","2.0","6.0","25","8","24",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-25",,,,"0.00","0.0","1.0","45","12","44",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-26",,,,"0.00","0.0",,"45","38","45",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-27",,,,"0.22","0.0",,"53","35","35",,,,,,,
"USC00300443","BATAVIA, NY US","2009-02-28",,,,"0.03","0.0","0.0","22","11","17",,,,,,,
"USC00300443","BATAVIA, NY US","2009-03-01",,,,"0.00","0.0","0.0","26","11","22",,,,,,,
"USC00300443","BATAVIA, NY US","2009-03-02",,,,"0.02",,"0.0","19","10","11",,,,,,,
"USC00300443","BATAVIA, NY US","2009-03-03",,,,"0.00","0.0","0.0","20","6","19",,,,,,,
"USC00300443","BATAVIA, NY US","2009-03-04",,,,"0.00","0.0","0.0","30","13","29",,,,,,,
"USC00300443","BATAVIA, NY US","2009-03-05",,,,"0.00","0.0","0.0","51","17","50",,,,,,,
"USC00300443","BATAVIA, NY US","2009-03-06",,,,"0.00","0.0","0.0","58","47","58",,,,,,,
"USC00300443","BATAVIA, NY US","2009-03-07",,,,"0.04","0.0","0.0","51","32","43",,,,,,,
