"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","WESD","WESF"
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-01",,,"0.03","0.3","4.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-02",,,"0.00","0.0","3.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-03",,,"0.01","0.1","3.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-04",,,"0.00","0.0","2.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-06",,,"0.00","0.0","1.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-07",,,"0.34","0.1","1.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-08",,,"0.51","5.8","7.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-09",,,"0.00","0.0","6.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-11",,,"0.36","4.1","9.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-12",,,"0.03","1.6","10.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-13",,,"0.01","0.1","9.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-14",,,"0.22","1.8","10.5","1.6","0.2"
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-15",,,"0.04","0.7","10.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-16",,,"0.07","0.5","11.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-17",,,"0.29","6.1","15.5",,"0.6"
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-18",,,"0.08","1.3","13.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-19",,,"0.24","6.9","17.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-20",,,"0.11","1.8","16.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-21",,,"0.01","0.0","15.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-22",,,"0.01","0.0","13.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-23",,,"0.00","0.0","12.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-24",,,"0.00","0.0","10.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-25",,,"0.00","0.0","10.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-26",,,"0.05","3.0","12.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-27",,,"0.02","0.3","11.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-28",,,"0.25","3.0","12.5","2.3","0.3"
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-29",,,"0.59","6.9","17.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-30",,,"0.09","2.0","18.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-01-31",,,"0.07","2.8","18.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-01",,,"0.01","0.0","17.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-02",,,"0.00","0.0","14.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-03",,,"0.00","0.0","14.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-04",,,"0.05","1.0","14.5","3.2","0.1"
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-05",,,"0.01","0.3","14.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-06",,,"0.00","0.0","13.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-07",,,"0.00","0.0","13.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-08",,,"0.00","0.0","4.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-09",,,"0.00","0.0","4.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-10",,,"0.00","0.0","3.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-11",,,"0.00","0.0","1.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-12",,,"1.25","1.0","1.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-13",,,"0.23","0.6","0.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-14",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-15",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-16",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-17",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-18",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-19",,,"0.27","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-20",,,"0.08","1.0","1.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-21",,,"0.01","0.3","1.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-22",,,"0.08","2.1","2.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-23",,,"0.02","0.2","2.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-24",,,"0.00","0.0","2.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-25",,,"0.00","0.0","1.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-26",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-27",,,"0.20","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-02-28",,,"0.61","0.4","0.5",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-03-01",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-03-02",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-03-03",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-03-04",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-03-05",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-03-06",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-03-07",,,"0.00","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-03-08",,,"1.63","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-03-09",,,"0.56","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-03-10",,,"0.19","0.0","0.0",,
"US1NYER0039","HAMBURG 0.4 WSW, NY US","2009-03-11",,,"0.85","0.0","0.0",,
