"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00309047","WAVERLY, NY US","2009-01-01",,,"0.14","1.0","1.0","30","10","10"
"USC00309047","WAVERLY, NY US","2009-01-02",,,"0.00","0.0","1.0","29","10","29"
"USC00309047","WAVERLY, NY US","2009-01-03",,,"0.00","0.0","0.0","37","27","28"
"USC00309047","WAVERLY, NY US","2009-01-04",,,"0.00","0.0","0.0","34","10","10"
"USC00309047","WAVERLY, NY US","2009-01-05",,,"0.00","0.0","0.0","41","10","38"
"USC00309047","WAVERLY, NY US","2009-01-06",,,"0.00","0.0","0.0","42","10","17"
"USC00309047","WAVERLY, NY US","2009-01-08",,,"0.00","0.0",,"44","33","33"
"USC00309047","WAVERLY, NY US","2009-01-09",,,"0.00","0.0",,"34","24","24"
"USC00309047","WAVERLY, NY US","2009-01-10",,,"0.00","0.0",,"34","19","19"
"USC00309047","WAVERLY, NY US","2009-01-12",,,"0.00","0.0",,"28","11","12"
"USC00309047","WAVERLY, NY US","2009-01-13",,,"0.00","0.0",,"31","10","29"
"USC00309047","WAVERLY, NY US","2009-01-14",,,"0.00","0.0","3.0","36","11","11"
"USC00309047","WAVERLY, NY US","2009-01-15",,,"0.07","1.0","4.0","19","11","12"
"USC00309047","WAVERLY, NY US","2009-01-16",,,"0.00","0.0",,"20","0","6"
"USC00309047","WAVERLY, NY US","2009-01-17",,,"0.00","0.0",,"14","-5","-5"
"USC00309047","WAVERLY, NY US","2009-01-18",,,"0.02","1.0","5.0","20","-6","20"
"USC00309047","WAVERLY, NY US","2009-01-19",,,"0.00","0.5","5.0","28","20","23"
"USC00309047","WAVERLY, NY US","2009-01-20",,,"0.00","0.0","5.0","29","2","2"
"USC00309047","WAVERLY, NY US","2009-01-21",,,"0.00","0.0","5.0","25","1","11"
"USC00309047","WAVERLY, NY US","2009-01-22",,,"0.00","0.0",,,,
"USC00309047","WAVERLY, NY US","2009-01-23",,,"0.00","0.0",,"38","16","16"
"USC00309047","WAVERLY, NY US","2009-01-24",,,"0.00","0.0",,"46","16","27"
"USC00309047","WAVERLY, NY US","2009-01-25",,,"0.00","0.0","3.0","27","-3","-3"
"USC00309047","WAVERLY, NY US","2009-01-26",,,"0.00","0.0","3.0","21","-5","-1"
"USC00309047","WAVERLY, NY US","2009-01-27",,,"0.00","0.0","3.0","25","-8","12"
"USC00309047","WAVERLY, NY US","2009-01-28",,,"0.32","3.0","6.0","27","12","24"
"USC00309047","WAVERLY, NY US","2009-01-29",,,"0.23","0.0","6.0","36","20","20"
"USC00309047","WAVERLY, NY US","2009-01-30",,,"0.00","0.0","6.0","32","20","28"
"USC00309047","WAVERLY, NY US","2009-01-31",,,"0.00","0.0","6.0","35","14","15"
"USC00309047","WAVERLY, NY US","2009-02-01",,,"0.00","0.0","6.0","28","13","21"
"USC00309047","WAVERLY, NY US","2009-02-02",,,"0.00","0.0","5.0","47","13","30"
"USC00309047","WAVERLY, NY US","2009-02-03",,,"0.00","0.0","5.0","39","20","20"
"USC00309047","WAVERLY, NY US","2009-02-04",,,"0.00","0.0","5.0","37","11","11"
"USC00309047","WAVERLY, NY US","2009-02-05",,,"0.00","0.0","5.0","25","8","8"
"USC00309047","WAVERLY, NY US","2009-02-06",,,"0.00","0.0","5.0","17","3","13"
"USC00309047","WAVERLY, NY US","2009-02-07",,,"0.00","0.0","5.0","36","12","13"
"USC00309047","WAVERLY, NY US","2009-02-08",,,"0.00","0.0","2.0","53","14","50"
"USC00309047","WAVERLY, NY US","2009-02-09",,,"0.00","0.0","1.0","51","22","22"
"USC00309047","WAVERLY, NY US","2009-02-10",,,"0.00","0.0","0.0","45","21","33"
"USC00309047","WAVERLY, NY US","2009-02-11",,,"0.00","0.0","0.0","51","36","36"
"USC00309047","WAVERLY, NY US","2009-02-12",,,"0.10","0.0","0.0","61","36","41"
"USC00309047","WAVERLY, NY US","2009-02-13",,,"0.00","0.2","0.0","61","32","32"
"USC00309047","WAVERLY, NY US","2009-02-14",,,"0.00","0.0","0.0","38","20","20"
"USC00309047","WAVERLY, NY US","2009-02-15",,,"0.00","0.0","0.0","35","20","20"
"USC00309047","WAVERLY, NY US","2009-02-16",,,"0.00","0.0","0.0","38","18","22"
"USC00309047","WAVERLY, NY US","2009-02-17",,,"0.00","0.0","0.0","33","13","13"
"USC00309047","WAVERLY, NY US","2009-02-18",,,"0.00","0.0","0.0","40","13","30"
"USC00309047","WAVERLY, NY US","2009-02-19",,,"0.18","1.0","1.0","37","29","34"
"USC00309047","WAVERLY, NY US","2009-02-20",,,"0.00","0.0","0.0","37","18","18"
"USC00309047","WAVERLY, NY US","2009-02-21",,,"0.00","0.0","0.0","29","18","24"
"USC00309047","WAVERLY, NY US","2009-02-22",,,"0.00","0.0","0.0","39","24","36"
"USC00309047","WAVERLY, NY US","2009-02-23",,,"0.00","0.0","0.0","38","20","20"
"USC00309047","WAVERLY, NY US","2009-02-24",,,"0.01","0.0","0.0","38","16","16"
"USC00309047","WAVERLY, NY US","2009-02-25",,,"0.00","0.0","0.0","31","15","15"
"USC00309047","WAVERLY, NY US","2009-02-26",,,"0.00","0.0","0.0","47","15","37"
"USC00309047","WAVERLY, NY US","2009-02-27",,,"0.00","0.0","0.0","57","37","49"
"USC00309047","WAVERLY, NY US","2009-02-28",,,"0.00","0.0","0.0","54","21","21"
"USC00309047","WAVERLY, NY US","2009-03-01",,,"0.00","0.0","0.0","31","16","17"
"USC00309047","WAVERLY, NY US","2009-03-02",,,"0.00","0.0","0.0","35","17","17"
"USC00309047","WAVERLY, NY US","2009-03-03",,,"0.00","0.0","0.0","35","10","10"
"USC00309047","WAVERLY, NY US","2009-03-04",,,"0.00","0.0","0.0","36","10","11"
"USC00309047","WAVERLY, NY US","2009-03-05",,,"0.00","0.0","0.0","35","10","12"
"USC00309047","WAVERLY, NY US","2009-03-06",,,"0.00","0.0","0.0","49","12","40"
"USC00309047","WAVERLY, NY US","2009-03-07",,,"0.00","0.0","0.0","64","35","38"
"USC00309047","WAVERLY, NY US","2009-03-08",,,"0.00","0.0","0.0","64","37","42"
"USC00309047","WAVERLY, NY US","2009-03-09",,,"1.41","0.0","0.0","48","42","46"
