"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-01","19.01"," 0607"," 0116","0.00","0.0","0.0",,"27","16","  330","  300","0.0","31.1","38.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-02","9.84"," 1004"," 0925","0.00","0.0","0.0",,"36","24","  220","  220","0.0","19.9","25.9",,,,,,,,"    1",,,,,,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-03","19.24"," 1119"," 1118","0.00","0.0","0.0",,"39","30","  310","  310","0.0","30.0","34.9",,,,,,,,,,,,,,,,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-04","10.96"," 2357"," 0219","0.00","0.0","0.0",,"43","26","  300","  280","0.0","23.9","29.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-05","10.96"," 1104"," 1052","0.00","0.0","0.0",,"44","39","  310","  330","0.0","19.9","23.9",,,,,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-06","10.29"," 2339"," 2235","0.06","0.0","0.0",,"39","31","   60","   70","0.0","16.1","19.9",,,,"    1","    1",,,,,,,"    1",,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-07","12.75"," 0645"," 2352","1.11","0.0","0.0",,"40","32","   70","  230","0.0","25.1","32.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-08","21.03"," 1206"," 1205","0.00","0.0","0.0",,"39","30","  270","  270","0.0","32.0","40.0",,,,,,,,,,,,,,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-09","18.79"," 1015"," 1035","0.00","0.0","0.0",,"33","27","  310","  320","0.0","28.0","34.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-10","10.51"," 2237"," 2346","0.06","1.4","0.0",,"30","24","   80","   70","0.0","17.9","21.9","    1",,,,"    1",,,,,,,"    1",,"    1","    1","    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-11","10.29"," 0025"," 0025","0.16","0.0","1.0",,"32","26","   60","   60","0.0","23.0","25.1","    1",,,,"    1",,,,,,,"    1","    1","    1","    1",,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-12","10.07"," 0912"," 0911","0.00","0.0","0.0",,"34","23","  300","  300","0.0","19.9","23.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-13","7.83"," 1243"," 1242","0.00","0.0","0.0",,"41","29","  190","  190","0.0","17.9","23.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-14","14.32"," 0523"," 0517","0.00","0.0","0.0",,"37","18","  330","  310","0.0","33.1","40.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-15","12.08"," 1841"," 1825","0.06","1.3","0.0",,"23","17","  310","  310","0.0","21.9","25.9",,,,,,,,"    1",,,,,,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-16","15.21"," 1803"," 0615","0.00","0.0","1.0",,"18","11","  290","  290","0.0","23.0","28.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-17","8.05"," 2354"," 0003","0.00","0.0","0.0",,"22","8","  290","  290","0.0","17.0","19.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-18","6.93"," 1750"," 1808","0.19","2.5","0.0",,"33","22","   60","   70","0.0","13.0","15.0","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,"    1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-19","4.70"," 2335"," 2334","0.08","2.0","2.0",,"33","26","  300","  300","0.0","15.0","17.0","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,"    1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-20","12.30"," 1409"," 1408","0.00","0.0","4.0",,"30","22","  350","  350","0.0","21.0","25.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-21","13.87"," 1853"," 2317","0.00","0.0","3.0",,"28","19","  270","  250","0.0","21.0","23.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-22","12.75"," 1415"," 1421","0.00","0.0","2.0",,"37","22","  270","  270","0.0","21.9","29.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-23","7.83"," 1456"," 1456","0.00","0.0","2.0",,"45","28","  170","  170","0.0","17.9","21.9",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-24","18.79"," 1659"," 1929","0.00","0.0","1.0",,"47","18","  320","  290","0.0","25.9","33.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-25","10.51"," 2353"," 2352","0.00","0.0","0.0",,"28","15","  330","  320","0.0","19.9","23.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-26","8.05"," 0214"," 0240","0.00","0.0","0.0",,"30","20","  330","  340","0.0","16.1","17.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-27","8.05"," 0942"," 0937","0.00","0.0","0.0",,"31","26","  330","  330","0.0","14.1","17.0",,,,,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-28","13.65"," 2008"," 2022","0.91","2.6","2.0",,"42","24","  270","  280","0.0","30.0","40.9","    1",,,"    1","    1",,,,,,,"    1",,"    1",,"    1",,
