Inv Location,Count of equine-death-and-breakdown
after finish,331
,183
1/4 Pole,150
3/8 Pole,138
1/8 pole,126
Finger Lakes,125
3/4 pole,104
stretch,101
Before Race,97
Starting Gate,74
Main track,58
paddock,53
"Main Track, Finish of Race",52
post parade,48
After the Finish,47
1/16 pole,46
Start,39
Harness Track,37
1/2 mile pole,36
Training Track,36
Warm-up,36
Aqueduct,35
Tioga Downs,35
Saratoga,33
"Inner Track, Finish of Race",32
FLGR,31
After Race,28
Vernon Downs,27
backstretch,26
Belmont,26
5/8 pole,25
7/8 Pole,25
first turn,25
Finish line,24
Monticello Raceway,24
Barn,22
"Main Track, 1/8 Pole",22
3/16 pole,20
Finish,20
"Main Track, 3/8 Pole",20
1/2 pole,19
barn area,19
Barn/Stall,19
"Main Track, 1/4 Pole",18
Saratoga Raceway,18
FLRT,17
"Main Track, First Turn",16
1st turn,15
Start of Race,15
Yonkers Raceway,15
After the race,14
"Main Track, Gate",14
Warm up,14
After Start,13
Belmont Training Track,13
During race,13
"Main Track, Post Parade",12
top of stretch,12
After 3/4 pole,11
"Inner Track, 1/8 Pole",11
"Inner Turf, Finish of Race",11
Stall,11
Batavia Downs,10
before finish,10
Belmont Park,10
Buffalo Raceway,10
Monticello,10
After the wire,9
"Inner Track, 3/8 Pole",9
"Main Track, 5/8 Pole",9
"Main Track, Starting Gate",9
Stall/Barn,9
Yonkers,9
5/16 pole,8
"Main Track, Warm-Up",8
Oklahoma Training track,8
on track,8
After Finish of Race,7
After Wire,7
During Warm-Up,7
Gate,7
"Inner Track, 1/4 Pole",7
"Inner Track, Start",7
"Main Track, 6/8 Pole",7
at start,6
Belmont TT,6
"Inner Track, 5/8 Pole",6
"Inner Turf, Starting Gate",6
"Main Track, 1/16 pole",6
"Main Track, 1/2 mile pole",6
"Main Track, 3/4 Pole",6
MR,6
After 1/2,5
After finish line,5
Aqueduct Racetrack,5
backside,5
Half Mile Pole,5
Home Stretch,5
"Inner Track, 1/16 pole",5
Inner Turf Course,5
Inside 1/16 pole,5
"Main Track, Head of the Stretch",5
"Main Track, Start",5
top of the stretch,5
1/2 mile,4
16th pole,4
3/8th pole,4
