Task name, Task description, Start time, End time, Duration,Duration in hours, Note, Category
00 Bring Tack down,,"Oct 7, 2018 at 6:08:00 PM","Oct 7, 2018 at 6:15:00 PM",0:07:00,0.1166666,,
01 Horse in,,"Oct 7, 2018 at 6:15:00 PM","Oct 7, 2018 at 6:15:00 PM",0:00:00,0,,
02 Curry/shed blade,,"Oct 7, 2018 at 6:15:00 PM","Oct 7, 2018 at 6:21:00 PM",0:06:00,0.1,,
03 Hard brush,,"Oct 7, 2018 at 6:21:00 PM","Oct 7, 2018 at 6:24:00 PM",0:03:00,0.05,,
04 Soft brush ,,"Oct 7, 2018 at 6:24:00 PM","Oct 7, 2018 at 6:25:00 PM",0:01:00,0.0166666,,
05 Mane Tail,,"Oct 7, 2018 at 6:25:00 PM","Oct 7, 2018 at 6:27:00 PM",0:02:00,0.0333333,,
06 Pick hoofs,,"Oct 7, 2018 at 6:27:00 PM","Oct 7, 2018 at 6:30:00 PM",0:03:00,0.05,,
08 Hoof oil ,,"Oct 7, 2018 at 6:30:00 PM","Oct 7, 2018 at 6:34:00 PM",0:04:00,0.0666666,,
09 Tack up,,"Oct 7, 2018 at 6:34:00 PM","Oct 7, 2018 at 6:52:00 PM",0:18:00,0.3,,
10 Horse to Ring,,"Oct 7, 2018 at 6:52:00 PM","Oct 7, 2018 at 6:54:00 PM",0:02:00,0.0333333,,
00 Bring Tack down,,"Oct 9, 2018 at 5:45:00 PM","Oct 9, 2018 at 5:55:00 PM",0:10:00,0.1666666,,
01 Horse in,,"Oct 9, 2018 at 5:55:00 PM","Oct 9, 2018 at 6:00:00 PM",0:05:00,0.0833333,,
02 Curry/shed blade,,"Oct 9, 2018 at 6:00:00 PM","Oct 9, 2018 at 6:09:00 PM",0:09:00,0.15,,
03 Hard brush,,"Oct 9, 2018 at 6:09:00 PM","Oct 9, 2018 at 6:13:00 PM",0:04:00,0.0666666,,
04 Soft brush ,,"Oct 9, 2018 at 6:13:00 PM","Oct 9, 2018 at 6:16:00 PM",0:03:00,0.05,,
05 Mane Tail,,"Oct 9, 2018 at 6:16:00 PM","Oct 9, 2018 at 6:20:00 PM",0:04:00,0.0666666,,
06 Pick hoofs,,"Oct 9, 2018 at 6:20:00 PM","Oct 9, 2018 at 6:26:00 PM",0:06:00,0.1,,
08 Hoof oil ,,"Oct 9, 2018 at 6:26:00 PM","Oct 9, 2018 at 6:30:00 PM",0:04:00,0.0666666,,
09 Tack up,,"Oct 9, 2018 at 6:30:00 PM","Oct 9, 2018 at 6:40:00 PM",0:10:00,0.1666666,,
10 Horse to Ring,,"Oct 9, 2018 at 6:40:00 PM","Oct 9, 2018 at 6:42:00 PM",0:02:00,0.0333333,,
00 Bring Tack down,,"Oct 10, 2018 at 8:07:43 PM","Oct 10, 2018 at 8:14:57 PM",0:07:13,0.1205549,,
01 Horse in,,"Oct 10, 2018 at 8:14:58 PM","Oct 10, 2018 at 8:21:15 PM",0:06:17,0.1047495,,
02 Curry/shed blade,,"Oct 10, 2018 at 8:21:15 PM","Oct 10, 2018 at 8:29:00 PM",0:07:44,0.1289154,,
03 Hard brush,,"Oct 10, 2018 at 8:29:00 PM","Oct 10, 2018 at 8:33:00 PM",0:04:00,0.0666666,,
04 Soft brush ,,"Oct 10, 2018 at 8:33:00 PM","Oct 10, 2018 at 8:34:00 PM",0:01:00,0.0166666,,
05 Mane Tail,,"Oct 10, 2018 at 8:34:00 PM","Oct 10, 2018 at 8:40:00 PM",0:06:00,0.1,,
06 Pick hoofs,,"Oct 10, 2018 at 8:40:00 PM","Oct 10, 2018 at 8:46:00 PM",0:06:00,0.1,,
08 Hoof oil ,,"Oct 10, 2018 at 8:46:00 PM","Oct 10, 2018 at 8:52:00 PM",0:06:00,0.1,,
09 Tack up,,"Oct 10, 2018 at 8:52:00 PM","Oct 10, 2018 at 9:08:00 PM",0:16:00,0.2666666,,
00 Bring Tack down,,"Oct 10, 2018 at 9:08:00 PM","Oct 10, 2018 at 9:10:00 PM",0:02:00,0.0333333,,
10 Horse to Ring,,"Oct 10, 2018 at 9:10:00 PM","Oct 10, 2018 at 9:13:00 PM",0:03:00,0.05,,
